ID,Review,Aspects,Sentiment
638,"Service has improved drastically from the old days, you are now seated by a hostess instead of standing behind a nearby table waiting for them to finish.","service, staff","positive, neutral"
639,"Paying that high price, I could have dined at other places with better food and service.","price, food","negative, positive"
640,"Upon explaining, the waiter confronted us as we left and spewed a stream of profanities at us as we walked out the door.","staff, miscellaneous","negative, neutral"
641,Everything from the salmon dip at the bar (while waiting for our table) to the dessert was perfect.,"food, place","positive, neutral"
642,"The dinner lasted about 3 hours, that waiter continued to refill our water even though we finished the whole meal(including desserts) an hour and half before.","food, staff","neutral, negative"
643,"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle.","service, food, miscellaneous","negative, positive, neutral"
644,"the filet came out and was absolutely delicious, on a bed of julienned vegetables in a balsamic vinagarette sauce.","miscellaneous, food","positive, neutral"
645,The owner and staff are all Japanese as well and that adds to the entire ambiance.,"staff, ambience","neutral, positive"
646,"There was live music at the bar, which made our wait for a table wonderful (we didn't have reservations).","ambience, place","positive, neutral"
647,We were not offered the dessert menu and that waiter was so rude!~ I was very offended after a good meal.,"menu, staff","neutral, negative"
648,"I'm sorry, but the prices at Boi are outrageous for this type of cuisine.","price, food","negative, neutral"
649,"After the appetizers, which were the only saving grace (BBQ chips, spinach, fried bread), the servers descending and without asking started taking our plates away.","food, staff","neutral, negative"
650,"There isn't a huge selection of food, but there's something on the menu for everyone to really enjoy.","food, menu","negative, neutral"
651,The waitress gave us attitude because we orderred the price fix and not the regular menu.,"staff, price, menu","negative, neutral, neutral"
652,"The waiter made a huge production over what order he should deliver the food, as we all agreed the miso should be eaten with the sushi to aid digestion.","staff, food","positive, neutral"
653,Would go back when I was ordering off the regular menu and give the steak a try.,"menu, food","neutral, positive"
654,"Once we'd finished eating, it was another 15 minutes before we saw someone who would bring us the check - and after running my credit card, the waitress had the audacity to write cash only in the tip portion of the receipt!","price, staff","neutral, negative"
655,"The Scene You'll have to knock to enter this hidden dining room, a luxe windowless space featuring four wall-sized murals depicting famous landmarks throughout the seasons, as well as a handful of finery-laden tables.","miscellaneous, place","neutral, positive"
656,"If you consider throwing food at your when they remember good service, then go for it.","food, service","neutral, positive"
657,"While they adhere to a certain traditionality in serving their teas; eg: samovar for the russian, chinese tea sets for the green, the food labours under no such restrictions and there is nothing ordinary on the menu.","service, food, menu","neutral, neutral, negative"
658,The worst service I have ever had - entered the restaurant and waited at the door for 5 minutes before deciding to push our way past the extremely small bar to find a waitress.,"service, place, staff","negative, negative, neutral"
659,"Hostess finally brought it, saying if we wanted dessert, we could move to another table.","staff, food","negative, neutral"
660,The owner promised my party a table and bottle service and took care of it immediately as we all arrived.,"staff, miscellaneous","positive, neutral"
661,"Ignoring the merits of the cuisine (which was par at best), I see no reason why one would pay Da Umberto prices for an okay meal and below average ambience.","price, food","neutral, positive"
662,"Though there are a handful of Japanese a la carte offerings on the menu, the prix fixe is most popular by far.","menu, price","neutral, positive"
663,Get there before 7:30 for dinner or get ready for a really long wait - this place doesn't take reservations.,"food, service","neutral, negative"
664,"Our waiter was very prompt and friendly, but the worst part of the experience was actually after the meal when I was leaving.","staff, food","positive, neutral"
665,"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person).","price, food","negative, neutral"
666,"Went for restaurant week and surprisingly on the menu were entree options of Mahi, Mahi, Kobe Beef ribs, Salmon and some other things in very reasonable portions.","menu, food, miscellaneous","neutral, neutral, positive"
667,The waiter didn't go over the menu choices and at the end of the night we were so fed up we didn't even order dessert.,"staff, menu, food","negative, neutral, neutral"
668,"This place is good but food and service is presented for the masses, not much personalized service considering the price tag and that it is a  full-evening-out type of dinner place.","food, place","negative, neutral"
669,"The menu reads well, and it sounds like the chef knows whats up.","menu, staff","neutral, positive"
670,"the tasty food keeps luring me back, but after placing an order with who i assume must be the same rude sunday manager i keep hearing about, i'm not sure i will again.","food, staff","positive, negative"
671,Portions were certainly substantial for lunch.,"miscellaneous, food","negative, neutral"
672,"The waiters do not pay any attention to the customers, instead sit at the bar and watch TV.","staff, place","negative, neutral"
673,"Not 5 minutes passed before the server actually tapped us on the shoulder and, I swear to god, ASKED US TO LEAVE because they had a reservation.","staff, miscellaneous","negative, neutral"
674,When we asked a waiter for an explanation of the long wait with some many empty tables he had no answer so we asked for the manager.,"staff, place","negative, neutral"
675,You can spend $25 per entree at a much fancier place.,"food, place","neutral, positive"
676,Space gets kind of crowded in there--because it's so popular--but it's worth the wait because the food is very good.,"place, service, food","negative, positive, positive"
677,"A few years ago I would have rated it much higher, but now - with other better choices such as Candle Cafe, Good Health Cafe and others, the dated menu, crowded atmosphere are spacey service is not the greatest choice.","menu, ambience","neutral, negative"
678,"Grabbed a lunch here on a weekday and it was reasonably priced, well-portioned and generally well-prepared.","food, price","neutral, positive"
679,"The Setting The exposed brick and tangerine walls, flickering candles and tiny bar cast a formal mood across this cozy Park Slope trattoria, but the high ceiling fans and two glass walls (left open in warm weather) add a casual breeziness.","ambience, food, place, miscellaneous","neutral, neutral, positive, positive"
680,"great food, even better price, they also have a dj spinning great music, definitely a must try.","food, price, staff, ambience","positive, positive, neutral, positive"
681,The waiters didn't clean it up until they brought our dessert.,"staff, food","negative, neutral"
682,The wait staff is friendly and helpful and kudos to the sushi chef Hero who serves up great dishes on and off the menu and is always wearing a smile.,"staff, food, menu","positive, positive, neutral"
683,the most expensive dish on the menu was $14!!!,"food, menu","negative, neutral"
684,"A very pretty setting to have a meal, but unfortunately the service and food don't match the atmosphere.","service, food, ambience","negative, negative, positive"
685,"Although almost the entire back room had tables available, the owner made people wait to be seated while dragging waitresses around by the arm and loudly telling them they were doing things wrong.","place, staff","neutral, negative"
686,"I visited the Park Slope location on Fifth Avenue, and was impressed with the menu, and that they offered chicken fried steak.","menu, food","positive, neutral"
687,i had a horrible experience with a waiter while trying to have breakfast friday morning.,"staff, food","negative, neutral"
688,that the waiting is horrific but the food is great.,"service, food","negative, positive"
689,"He hooted and hollered -- and told every staff person at the bar, not to serve us.","staff, place","negative, neutral"
690,"To finish, the cost of the dinner was over-priced.","price, food","negative, neutral"
691,"The caesar salad was a huge bowl of iceberg lettuce, a dressing that wasn't ceasar, 1 crouton and a few slices of thin chicken -- for $12.","food, ambience","positive, neutral"
692,"If you go for lunch as we did, get there when they open as seating is fairly limited.","food, place","neutral, negative"
693,"The service isn't spectacular and neither is the ambience, but on a lunch hour, all you're looking for is a satisfied stomach.","service, ambience, food","negative, negative, neutral"
694,"The problem is that if you want anything to continue the meal, if you need an extra minute to go over the menu, or if, horrors, you want the check, you might be in for a lengthy wait.","menu, service","neutral, negative"
695,She also has to beg for water refills squeeze her smallish rear-end between crowded tables.,"food, place","neutral, negative"
696,"If you are expecting big portions, go find a Cheesecake Factory.","miscellaneous, food","positive, neutral"
697,"Pastas include shellfish-stocked linguine with tomato sauce, and an excellent homemade cheese ravioli--all are available in half portions.","food, miscellaneous","positive, negative"
698,"Good location, but tourist-y and poor quality food.","place, food","positive, negative"
699,The menu does not have much and what we did have - original pizza with pepperoni and sausage was not so great.,"menu, food","neutral, negative"
700,Their menu has just been updated featuring new rolls and more choices.,"menu, food","neutral, positive"
701,A popular diner in the Metro Tch Brooklyn area catering to local brooklyn ites or the wall street financial back office employees of Metrotech.,"place, staff","positive, neutral"
702,"Although the pricing is on the more expensive side, this is a must try restaurant for its food.","price, food","negative, positive"
703,"although the food was well-prepared, it was not worth the price, especially when it does not include dessert!","food, price","positive, negative"
704,"Watch out for the sesame noodles, though, and leave the complimentary pickled cabbage and carrots sitting on the table for the next customer to enjoy.","food, miscellaneous","negative, neutral"
705,"The menus took about 15 minutes to come, the menu were already set up for Valentines day the salad was good my dinner was a soup of about 2 or three shrimps, THAT'S IT!","menu, miscellaneous, food","neutral, neutral, positive"
706,"Menu had several fish selections (snapper, salmon, cod) but all were around $30 despite the fact that the portions would hardly fill a child's belly and the sides were 3 pieces of lettuce (literally).","menu, food, miscellaneous","neutral, negative, negative"
707,The service can be a bit spotty since they are sometimes busy taking phone orders to attend to the restaurant patrons so make sure you have a lot of time to spare when you go there for dinner.,"service, food","negative, neutral"
708,"I find the attitude of the managers to be appallingly superior, and the food below average, at sky-high prices.","service, staff, food","positive, positive, negative"
709,"mistake on the check, overly salty morels stuffed with foie gras) but overall, Daniel's dishes are revelations in taste.","price, food","neutral, positive"
710,Particularly good is the chicken verde burrito with a refreshingly spicy salsa that avoids the heat overkill.,"food, miscellaneous","positive, negative"
711,The food was pretty good but the portions were smaller than what I would expect for brunch.,"food, miscellaneous","positive, negative"
712,"While there's a strong Asian influence behind many of the plates, you can't pigeonhole the food into a single genre, as there are Thai, Chinese, Japanese, Italian and American dishes incorporated into this creative menu.","miscellaneous, food, menu","neutral, neutral, positive"
713,The mussels and fries at this place were amazing!,"food, place","positive, neutral"
714,"I politely told our waitress about this and she was not only apologetic, but the manager came over a minute later and apologized and bought myself and my guest another round of drinks.","staff, food","negative, neutral"
715,The hostess SLOWLY walked by our table scribbing something on paper.,"staff, miscellaneous","negative, neutral"
716,"Everything that could go wrong did starting with the set menu that I was not informed of at the time of the reservation, to trying to seat us 45 minutes late at a table that was not made up.","menu, miscellaneous","neutral, negative"
717,"Great decor, expensive drinks but worth the price, but the music is bland and the crowd is very cheezy.","ambience, price","positive, negative"
718,"Delivery wasn't the fastest, but the food was still hot so I won't complain.","service, food","negative, positive"
719,"Bins of fresh bagels rest behind the counter, and there are always a few customers sitting at one of the few tables inside or on one of two wooden benches out front.","food, place","positive, neutral"
720,Ten minutes later: no burgers and no sign of our waiter.,"food, staff","neutral, negative"
721,Our waiter never once came by the table to ask us how our meal was.,"staff, miscellaneous","negative, neutral"
722,"There is a bar right by the door, which is convenient while waiting in the long lines for a seat and be prepared to wait on the weekends.","place, miscellaneous","neutral, negative"
723,"Upon entering we were promptly seated and ordered a few minutes after ordering the waiter came out and said they are completely out of crab, crab legs, crab claws everything.","staff, food","negative, neutral"
724,"While the food is terrific, you must overlook the often apathetic service, and the sometimes downright rude Manager that seats people.","food, service","positive, negative"
725,As the waitress cleaned the table in a rush she knocked over a party bag containing a glass bottle with bath oil.,"staff, miscellaneous","negative, neutral"
726,I went there for a late dinner last night with a friend and the service was aweful.,"food, service","neutral, negative"
727,"For the price and quality of the food, the service should have been a lot better than it was.","price, food, service","neutral, neutral, negative"
728,Great place to get a good fulfilling meal but do not go for ambience or service.,"food, ambience, service","positive, negative, negative"
729,"It's always exciting to see celebrities hiding in the corner banquettes or behind sunglasses at the bar, but the real draw is the chef's short ribs and the volumous wine list.","place, staff, food","neutral, neutral, positive"
730,Those waiting inside to get a free table and waitresses carlessly walking by only served to make matters worse.,"service, miscellaneous","neutral, positive"
731,"So maybe I'm naive to the latest trends in dining, but I really didn't like it.","miscellaneous, food","negative, neutral"
732,"), we were not given bread though the couple next to us was, we asked twice for our check and when it came, they forced us to pay the tip in cash so they could get out of paying taxes!","food, price","negative, neutral"
733,"The servers were prompt and attentive, but the food arrived lukewarm (maybe it was served so quickly because it was pre-cooked and had been sitting out for a while) and was not all that flavorful.","food, service","negative, positive"
734,"The Scene The space, fit with imported giant urinals, zinc-topped bar, large antique mirrors, mosaic floor tiles and mahogany trim, looks like it's been around forever.","miscellaneous, place","neutral, positive"
735,"We then waited until 7:35 before any food arrived at our table, despite the fact that we kept reminding our waitress that we needed to leave by 7:45.","food, miscellaneous, staff","neutral, neutral, negative"
736,"When the pizza arrived it was definitely hot, however the topping was rather soggy from the moisture from the fresh tomatoes.","food, miscellaneous","positive, negative"
737,"The service is almost stifling polite (they pushed in my chair behind me every time I returned from the bathroom), though the sushi chef preparing my food was casual and chatty.","miscellaneous, food","neutral, negative"
738,"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.","staff, food","negative, neutral"
739,"the hostess really underestimated the wait time for outdoor seating and never apologized, and our waitress was apathetic and unattentive.","staff, place","negative, neutral"
740,"Service was inexcusably, excruciatingly slow- it took more than 30 min to get the first round of drinks, by which point our party was ready to walk out.","service, food","negative, neutral"
741,"We got there early so there wasn't much of a wait -- otherwise, I usually sit at the bar and have a cocktail.","service, place, food","positive, neutral, neutral"
742,"The owner kindly gave us appetizers on the house to make our now, long wait, more pleasant, but of course they took forever to arrive and were insufficient.","staff, food","positive, neutral"
743,"The green hair table and seating at the front window was tacky and gimmicky, but figured it's the food that counts.","miscellaneous, place, food","negative, negative, positive"
744,"Myself along with every other patron were forced to wait in an overcrowded bar while employees carry chairs and such over our heads to prepare for dinner in the next room, shoulder to shoulder we stood there like cattle waiting to be fed.","place, staff, miscellaneous, food, service","negative, neutral, neutral, neutral, neutral"
745,Tried again for Brunch and really bad server with HUGE attitude.,"food, staff","positive, negative"
746,"Went for lunch but wanted to order a la carte, which was so highly discouraged by the waiter (pushing the 10.","food, staff","neutral, negative"
747,"The Food The pan-Italian menu forgoes the appetizer-entree format in favor of fairly priced small plates, which quickly add up.","food, menu, price, miscellaneous","neutral, neutral, positive, negative"
748,"The waiter made no effort to remember who had orderd what (just threw it on the table and bailed), or even who ordered (I had to flag him so my wife could order her main dish 15 min after he had taken orders from others).","staff, food","negative, neutral"
749,went there for dinner over the weekend and was treated rudely right away by what I think was a manager who was doing anything but managing.,"food, staff","neutral, negative"
750,I was interrupted by the waiter to say that when we are done with dinner he'd bring one.,"staff, food","negative, neutral"
751,"The food makes up for it, though the quality has fallen victim to it's success.","food, miscellaneous","positive, negative"
752,"Get a bottle of wine, and eat what your heart has been desiring because all the things you would love to be on one menu--are!","food, menu","neutral, positive"
753,The food was barely decent and our server was nowhere to be found.,"food, staff","positive, negative"
754,I always trek to Bar 89 and get one of their huge sandwiches that comes with fries.,"place, food","neutral, positive"
755,"The Food The seafood-dominant fusion menu features standout starters, like super-fresh raw bar oysters, crispy citrus-pepperoncini calamari and flaky lobster-mushroom tart with fiery chorizo and caramelized onions.","menu, food","neutral, positive"
756,"The food and decor is above average, but it is clear the restaurant has bad management and service.","food, ambience, staff, service","positive, positive, negative, negative"
757,"The first time around, we had the $80 tasting menu, which included some sushi items, which I found to be pretty average, especially for the price.","menu, price","negative, neutral"
758,The Japanese folk music blaring on the quaint speakers are a trip and they have some interesting things on the menu like bull pen|s and turkey testicles.,"ambience, miscellaneous, menu, food","neutral, positive, neutral, neutral"
759,The wait for a table is interminable.,"service, miscellaneous","negative, neutral"
760,but we waiting two hours to get it (we had reservations but it was late so we wanted to try to come in earlier).,"service, miscellaneous","negative, neutral"
761,"the waitress was probably new, because she had no idea what wine they had, or if they had a certain type by the glass or bottle, and kept going back to the bar to find out.","staff, food, miscellaneous","negative, neutral, neutral"
762,"When you go, you should ask for help from the wait staff in deciding what to order since the menu can be daunting.","staff, menu","neutral, negative"
763,Olives served at the bar are wonderful.,"food, place","positive, neutral"
764,The only con is the price ($110 for two people for a full meal).,"price, food","neutral, positive"
765,"When we went, the wait staff did not talk to us about any of the specials/the menu etc and handed us our bill while we were still eating.","staff, menu","negative, neutral"
766,"food was just ok,, to many high end places in such a cool lower east side neighborhood,like prune and apizz, prices to high in these places for this hood.","food, price","positive, negative"
767,"The waitress recommended four courses, not three, given their tiny size.","staff, food, miscellaneous","neutral, neutral, negative"
768,"I was a bit taken aback by the paper napkins and the flyer like menu, but was excited nevertheless to taste the food praised by at least 6 people on this site.","miscellaneous, menu, food","neutral, neutral, positive"
769,"The place was empty except for one table, but they were just having drinks (red flag #1).","place, miscellaneous, food","negative, neutral, neutral"
770,"Food was much better than the average Indian place in the area, and more interesting.","food, place","positive, neutral"
771,"In addition to Italian staples like pasta, chicken and veal parmigiana, house specials like chicken Giovanni (chicken breast with sausage, sauteed in white wine) and linguini Giovanni (shrimp and clams in red sauce) keep the menu interesting.","food, menu","neutral, positive"
772,"Just be sensible, if the wait is 45 minutes or longer--just have sushi there some other time, and eat something else that night.","service, food","negative, neutral"
773,"So, get drinks elsewhere, have a nice dinner here, and stop by the package store on the way home where you can get a bottle of Bombay Sapphire for the cost of 2 drinks here.","food, miscellaneous, price","positive, neutral, neutral"
774,"One person's dinner was cold, another was charged for a larger portion than ordered, and my shrimp pasta was inedible.","food, miscellaneous","negative, positive"
775,"Babbo and Lupa are significantly better, and this place should redo the menu, or empty seats could become the norm.","menu, miscellaneous","neutral, negative"
776,"Subtle decor, above average wine list and a menu with a difference.","ambience, food, menu","positive, positive, neutral"
777,After dinner our waiter takes the bill and the manager tells him to clear our table so that we could leave.,"food, staff, price","neutral, negative, neutral"
778,The food was awesome if you can deal with wait staff who you can hardly ever find.,"food, staff","positive, negative"
779,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.","food, menu","negative, neutral"
780,We waited FOREVER on Valentine's Day for our table because their hostess had lost our reservation BUT the food was worthy of the long wait anyway.,"miscellaneous, staff, food, service","neutral, negative, positive, negative"
781,The waiter brought the wrong food and charged us for food and drinks we didn't order.,"staff, food","negative, neutral"
782,"our waiter from last year, a young man named Chris, actually remembered us (we did speak at length that evening about everything from food and wine to how to create good marrige).","staff, food","positive, neutral"
783,"I went back to telly's because i heard that they changed the Chef and the food was again, after a very very small break, was excellent again.","staff, food","neutral, positive"
784,"Expect to be cramped and you may have to wait a little for your food, but the service is really friendly and helpful.","food, service","neutral, positive"
785,"Art and miscellany adorn the black-painted walls; strings of colored lights, disco balls and TVs are hung here and there; and on weekends a DJ fills the dining room with loud dance beats.","food, staff, ambience","negative, neutral, negative"
786,"Pad thai and a variety of noodle soups, such as pho bac and Bangkok Curry, round out the menu and arrive in heaping portions.","menu, miscellaneous","neutral, positive"
787,"The portions are not huge, but they do include an alcoholic beverage or fresh juice, so that made up for it.","miscellaneous, food","negative, neutral"
788,"Although the food was good, it wasn't quite worth the price tag.","food, price","positive, negative"
789,During my meal the waiter and waitress gathered with other friends that had arrived and they spent the whole time talking and ignoring the clientele.,"food, staff","neutral, negative"
790,"Finally, one of the waitstaff noticed and brought out a dirty bus pan which he put on the table next to me and started bussing the entire dining room.","staff, place","negative, neutral"
791,"Even though it wasn't totally full, the waitress had to RUN around the restaurant, and the drinks and the food took a LONG time to arrive.","staff, food","negative, neutral"
792,"After ordering a couple beers from the pleasant bartender, my date and I took a seat at one of MANY vacant tables next to the bar (The bar stools were full).","staff, miscellaneous, food","positive, neutral, negative"
793,"Had a few appetizers; smoked duck was served cold but good flavor, tofu was good/fresh too, nothing to rave about though.","food, ambience","neutral, positive"
794,"The price wouldnt be so bad if it wasnt for the poor service, average food, and uninspired menu selections (choice of tiramisu and strawberries with whipped cream for dessert?!","price, service, menu, food","negative, negative, negative, neutral"
795,NEED Reservations in order to get past the host by the secret door and the maitre d host downstairs but No trace of snooby attitude here.,"miscellaneous, staff","neutral, positive"
796,"Then the manager said, hey we'll give you shrimp instead, which would have taken another hour.","staff, food","negative, neutral"
797,I always find myself asking the waiter to make something bland and different than what is on the menu.,"staff, menu","negative, neutral"
798,"In Short The vegi burgers (and the full bar) are the main draws: ranging from the Super Veg-Burger with lettuce, tomato and Abijah's secret sauce to the McKate (two un-beef patties, special sauce, lettuce, dairy or nondairy cheese, etc.","place, food","positive, neutral"
799,The food was a meal I could find anywhere else in the city for a better price.,"food, price","neutral, positive"
800,and if that wasn't enough the owner threw in a free beer each for me and my friend.,"staff, food","negative, neutral"
801,"Informal servers sashay past plastic chairs and patterned booths, ducking enormous lampshades with cheerful insouciance.","staff, miscellaneous","negative, neutral"
802,"When we showed up, the guy at the door said it would be 15 minutes and that we could wait by the bar.","staff, place","negative, neutral"
803,"our waitress (who was ok) disappeared in the middle of our dinner, leaving us to an obnoxious amateur (must answer the phones or something) who could not answer our questions and treated us extremely rudely.","staff, food","negative, neutral"
804,Wait staff started swarming around us as if we just ordered cokes throughout lunch.,"staff, food","negative, neutral"
805,"Smallish menu, but more than adequate, and not that heavy on sauces which is so typical of italian restaurants.","menu, food","negative, positive"
806,Besides ordering single dishes you can also order family style.,"food, miscellaneous","neutral, positive"
807,"the staff there was really freindly the owner even sat down at one point to chat with us, it was hard to chose from the menu it all sounded good, so my wife and i shared plates to try a little of each dish , we ordered.","staff, menu","positive, neutral"
808,"Even at lunch, when lawyers and publishers flock in to wheel and deal over the justly-popular lunch buffet, the atmosphere remains serene.","food, ambience","neutral, positive"
809,"I highly recommend the chicken hearts, but remember: ask the waiters, since they're not usually available and will be cooked upon request (and will go fast).","food, staff","positive, neutral"
810,"Had a late-night dinner there on Friday, and while the decor is fabulous, we waited a long time for our check.","food, ambience","neutral, positive"
811,the decor isn't quite like Shun Lee but the service will definitely make up for any shortcoming.,"ambience, service","negative, positive"
812,"In the middle of dessert, the waitress silently passes by and drops the check.","food, staff","neutral, negative"
813,The waiter's recommendation for the entree (seabass in a lime and mango chutney) exceeded our expectations and we ate the chutney to the last drop.,"staff, food","positive, neutral"
814,For the cost of the lunch I expected much better service.,"price, food, service","neutral, neutral, negative"
815,"Even though it's a trek for me to get there and the place is a little of a Hole in the wall, I've gone many times for the food alone.","place, food","negative, positive"
816,"In the main dining room, finding your waiter is Hell and aside from when they take your order and bring the bill, you'll rarely see them.","place, staff","neutral, negative"
817,We sat there with the check and ordered dessert and more drinks.,"price, food","neutral, positive"
818,"As a former waitress, I get this conceptually, and I am even understanding of the fact that I had to wait 30minutes to get my first drink because the bar was backed up.","staff, food, place","positive, neutral, neutral"
819,"But my lunch was very light with a wrap, not tortilla, but something thinner, a rice paper sort of crepe, that had lettuce and spicy cabbage and thin sliced beef.","food, miscellaneous","positive, neutral"
820,I have been a waiter for many years and I can tell you that if bad service is given you at least apologize to the costumer.,"staff, service","neutral, negative"
821,"Those less interested in people-watching dine inside the whimsical, wood-trimmed room under a canopy of Italian inscriptions, or at the long, art-lined bar, which hosts a hopping after-work crowd.","place, miscellaneous","positive, neutral"
822,"And I'm saying that dinner has actually taken about an hour more than it should, just because of the slow service.","food, service","neutral, negative"
823,"We sat near the sluggish, hot and very loud kitchen and the service area was not wiped down once during the entire time.","place, miscellaneous","negative, neutral"
824,Manager couldn't be bothered to come over and acknowledge the mistake.,"staff, service","negative, positive"
825,"Soy abounds, in all forms: as firm patties, pure squares of glistening tofu, and something called a hijiki patty--mixed tastily with shreds of seaweed, then fried.","food, miscellaneous","negative, positive"
826,Evening service--featuring waiters all in black--is a little slow; plan on a leisurely dinner unless you're headed for the theater.,"service, staff, food","neutral, negative, neutral"
827,"Try the stir fried cube steak, shabu sahbu, or the Oden, or anything else you want to try on the menu.","food, menu","positive, neutral"
828,"I sat at the bar to receive faster service, and boy was i wrong!","place, service","neutral, positive"
829,Within 3 minutes after we sat the waiter was hovering over us to get our food order.,"staff, food","positive, neutral"
830,"My mouth almost dropped, and for good reason, when the server brought my sandwhich and side of macaroni.","staff, food","negative, neutral"
831,"If you think the prices are outrageous, just take the family, enjoy the ride and go in and order a few appetizers as prelude to a real dinner.","price, miscellaneous","negative, neutral"
832,"(Note: Price variations were listed nowhere--and I had asked for a to-go drink, deciding--after paying--to sit at a no-service counter until my drink cooled off.","price, food","negative, neutral"
833,"This restaurant was a great value, even though I know nothing about the prix fixe menu.","miscellaneous, menu","positive, neutral"
834,"To enhance the dining experience, there is a live jazz band, which further isolates you from the world outside the gates.","food, ambience","positive, neutral"
835,Surf-and-turf encompasses the menu's star entrees: deliciously charred sesame-crusted tuna with ginger ponzu gently juxtaposes espresso-rubbed filet mignon.,"menu, food","neutral, positive"
836,"The menu is quite substantial, with a number of chicken, beef, and seafood specialties not found at your typical chinese restaurant.","menu, food","positive, neutral"
837,"Other than the too fruity drinks at the bar which wasn't my cup of tea, everything else was excellent.","place, food","neutral, negative"
838,The porterhouse is as good a steak you are going to find in NYC or the surrounding area.,"food, place","positive, neutral"
839,"After a short wait at the bar (which was very crowded), we were seated upstairs at a private table.","service, place","neutral, negative"
840,"My only two complaints are that (1) our server was a real space cadet and kinda inattentive and (2) the sodas were really small; overall, though, I had a great time and really enjoyed my dinner!","place, food","neutral, positive"
841,"After paying for our meal, we left some feedback with the manager (a chap named J.","food, staff","neutral, negative"
842,"Down right comfortable, pleasant, enormous portions, have lunch and bring home a doggie bag wth your dinner.","miscellaneous, food","positive, neutral"
843,The host actually came over to my table and told me and my date we had to leave because we already paid our bill.,"staff, miscellaneous, price","negative, neutral, neutral"
844,"Their Korean menu was also equally impressive, A must try is the Kimchee cabbage pancakes as an appetiser ( the portions were as big as an entree!)","food, miscellaneous","neutral, positive"
845,The Waterview is one of the best diners I've evr been to interms of the quality and taste of the food.,"price, miscellaneous, food","positive, neutral, neutral"
846,"40 minutes later, the waitress finally looked at our table and we asked about our dishes.","staff, food","negative, neutral"
847,"The staff were all partying with each other at the bar, so even though we were the only ones there for food, it took 15 minutes to get menus.","staff, place, menu","negative, neutral, neutral"
848,we told the waitress and she told us that we ordered the dead fish as opposed to the swimming fish.,"staff, food","negative, neutral"
849,Our waiter was confused and forgot an additional soda when we asked for it.,"staff, food","negative, neutral"
850,"The Scene Neither trendy and slick nor haute and haughty, it this cozy wine bar adds a bit of Mediterranean sun to the chilly east 70s.","place, food","positive, neutral"
851,"This is one of two Ping's in Queens, the other one on Queens Blvd in Elmhurst serves great seafood dishes fished straight off clean tanks.","miscellaneous, food","neutral, positive"
852,"The place was beautiful, I sat at the bar for two hours and eat oysters and had way too many martinis.","place, food","positive, neutral"
853,"Unfortunately it gets very crowded on the weekends, so if you don't mind dining at the bar you can skip the wait for a table.","food, service, miscellaneous","negative, negative, neutral"
854,If you are under 24 this might seem to be a great place in the big city but for the rest of us it's just a liitle too chheesy and the food is under par for the price.,"food, price","negative, neutral"
855,They spoon the FAT GREASE over your steak when they bring it to the table.,"food, miscellaneous","negative, neutral"
856,"In Short This old-fashioned luncheonette, festooned with artificial flowers and signs touting the cherry lime rickeys, egg creams and banana-walnut pancakes, is favorite pitstop for folks visiting the Brooklyn Museum and Botanical Gardens.","food, place","positive, neutral"
857,"I'm a chef (30 years), and I can honestly say that I've finally found Italian food worth eating at a reasonable price.","staff, price","neutral, positive"
858,"unbeknownst to the three of us, the hostess made note of the fact that i was celebrating my b-day after a member of my dinner party made a very brief reference to it as we were seated.","staff, food","positive, neutral"
859,"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!","ambience, service, food","positive, positive, negative"
860,"Count on fresh, fairly priced cuts of fish that represent a good value, even if portions are a bit on the small side.","food, miscellaneous","positive, negative"
861,Food is pretty good but the service is horrific.,"food, service","positive, negative"
862,"Warming clam miso soup and expertly rolled Mexican maki (made with yellowtail, scallions, avocado, and jalapeno mayonnaise) pair well with a stiff glass of shochu, Japanese liquor with a bite as strong as tequila.","food, miscellaneous","positive, neutral"
863,"The Food Mafrici's approach to modern Italian fare may seem gimmicky: The menu lists eight seasonal ingredients, each prepared as an appetizer, pasta and entree.","menu, ambience, food","neutral, positive, neutral"
864,"The food was cold and did not match the description on the menu, the waiter could not be bothered with me (and I am nice to deal with since I work in the industry), and it was way over priced.","miscellaneous, menu, staff","negative, neutral, negative"
865,"The tables are close so you can hear every conversation going on around you, but if you're here with someone who enthralls you, you will notice no one else but your dinner date.","place, food","negative, neutral"
866,"00 bottle of wine, we had to endure the waiter's attitude, like he was doing us a solid, if you're into huge Euro crowds and don't care about what you eat and how it is served to you, Baraonda is your kind of place.","service, miscellaneous","neutral, negative"
867,"After waiting almost an hour for a table (with resies) our waiter told us that they don't have a sommelier because no steakhouse has a sommelier (patently false), and finished with the notion that he had absolutely no idea about any of the wines on the list.","service, staff, food","neutral, negative, neutral"
868,"We had to wait by the door, and the host failed to acknowledge our existence for a whole 15 minutes!","miscellaneous, staff","neutral, negative"
869,"A friend and I went for dinner, the host was rude to us as we walked in, we stayed because the decor is charming and we wanted french food.","food, ambience","neutral, positive"
